ConfirmedForeignNational,ConfirmedIndianNational,Confirmed,Cured,Date,Deaths,Number of Records,Sno,State/UnionTerritory,Time
0,1,1,0,30-01-2020,0,1,1,Kerala,6:00 PM
0,1,1,0,31-01-2020,0,1,2,Kerala,6:00 PM
0,2,2,0,01-02-2020,0,1,3,Kerala,6:00 PM
0,3,3,0,02-02-2020,0,1,4,Kerala,6:00 PM
0,3,3,0,03-02-2020,0,1,5,Kerala,6:00 PM
0,3,3,0,04-02-2020,0,1,6,Kerala,6:00 PM
0,3,3,0,05-02-2020,0,1,7,Kerala,6:00 PM
0,3,3,0,06-02-2020,0,1,8,Kerala,6:00 PM
0,3,3,0,07-02-2020,0,1,9,Kerala,6:00 PM
0,3,3,0,08-02-2020,0,1,10,Kerala,6:00 PM
0,3,3,0,09-02-2020,0,1,11,Kerala,6:00 PM
0,3,3,0,10-02-2020,0,1,12,Kerala,6:00 PM
0,3,3,0,11-02-2020,0,1,13,Kerala,6:00 PM
0,3,3,0,12-02-2020,0,1,14,Kerala,6:00 PM
0,3,3,0,13-02-2020,0,1,15,Kerala,6:00 PM
0,3,3,0,14-02-2020,0,1,16,Kerala,6:00 PM
0,3,3,0,15-02-2020,0,1,17,Kerala,6:00 PM
0,3,3,0,16-02-2020,0,1,18,Kerala,6:00 PM
0,3,3,0,17-02-2020,0,1,19,Kerala,6:00 PM
0,3,3,0,18-02-2020,0,1,20,Kerala,6:00 PM
0,3,3,0,19-02-2020,0,1,21,Kerala,6:00 PM
0,3,3,0,20-02-2020,0,1,22,Kerala,6:00 PM
0,3,3,0,21-02-2020,0,1,23,Kerala,6:00 PM
0,3,3,0,22-02-2020,0,1,24,Kerala,6:00 PM
0,3,3,0,23-02-2020,0,1,25,Kerala,6:00 PM
0,3,3,0,24-02-2020,0,1,26,Kerala,6:00 PM
0,3,3,0,25-02-2020,0,1,27,Kerala,6:00 PM
0,3,3,0,26-02-2020,0,1,28,Kerala,6:00 PM
0,3,3,0,27-02-2020,0,1,29,Kerala,6:00 PM
0,3,3,0,28-02-2020,0,1,30,Kerala,6:00 PM
0,3,3,0,29-02-2020,0,1,31,Kerala,6:00 PM
0,3,3,0,01-03-2020,0,1,32,Kerala,6:00 PM
0,1,1,0,02-03-2020,0,1,33,Telengana,6:00 PM
0,3,3,0,02-03-2020,0,1,34,Kerala,6:00 PM
0,1,1,0,02-03-2020,0,1,35,Delhi,6:00 PM
0,1,1,0,03-03-2020,0,1,36,Telengana,6:00 PM
1,0,1,0,03-03-2020,0,1,37,Rajasthan,6:00 PM
0,3,3,3,03-03-2020,0,1,38,Kerala,6:00 PM
0,1,1,0,03-03-2020,0,1,39,Delhi,6:00 PM
0,6,6,0,04-03-2020,0,1,40,Uttar Pradesh,6:00 PM
0,3,3,3,04-03-2020,0,1,41,Kerala,6:00 PM
2,0,2,0,04-03-2020,0,1,42,Haryana,6:00 PM
0,1,1,0,04-03-2020,0,1,43,Delhi,6:00 PM
0,1,1,0,04-03-2020,0,1,44,Telengana,6:00 PM
14,1,15,0,04-03-2020,0,1,45,Rajasthan,6:00 PM
0,2,2,0,05-03-2020,0,1,46,Delhi,6:00 PM
2,0,2,0,05-03-2020,0,1,47,Haryana,6:00 PM
0,3,3,3,05-03-2020,0,1,48,Kerala,6:00 PM
14,1,15,0,05-03-2020,0,1,49,Rajasthan,6:00 PM
0,1,1,0,05-03-2020,0,1,50,Telengana,6:00 PM
0,7,7,0,05-03-2020,0,1,51,Uttar Pradesh,6:00 PM
0,3,3,0,06-03-2020,0,1,52,Delhi,6:00 PM
2,0,2,0,06-03-2020,0,1,53,Haryana,6:00 PM
0,3,3,3,06-03-2020,0,1,54,Kerala,6:00 PM
14,1,15,0,06-03-2020,0,1,55,Rajasthan,6:00 PM
0,7,7,0,06-03-2020,0,1,56,Uttar Pradesh,6:00 PM
0,1,1,0,06-03-2020,0,1,57,Telengana,6:00 PM
0,3,3,3,07-03-2020,0,1,58,Kerala,6:00 PM
0,7,7,0,07-03-2020,0,1,59,Uttar Pradesh,6:00 PM
0,2,2,0,07-03-2020,0,1,60,Ladakh,6:00 PM
0,1,1,0,07-03-2020,0,1,61,Telengana,6:00 PM
0,1,1,0,07-03-2020,0,1,62,Tamil Nadu,6:00 PM
0,3,3,0,07-03-2020,0,1,63,Delhi,6:00 PM
2,0,2,0,07-03-2020,0,1,64,Haryana,6:00 PM
14,1,15,0,07-03-2020,0,1,65,Rajasthan,6:00 PM
0,2,2,0,08-03-2020,0,1,66,Ladakh,6:00 PM
0,1,1,0,08-03-2020,0,1,67,Telengana,6:00 PM
0,1,1,0,08-03-2020,0,1,68,Tamil Nadu,6:00 PM
14,1,15,0,08-03-2020,0,1,69,Rajasthan,6:00 PM
0,8,8,3,08-03-2020,0,1,70,Kerala,6:00 PM
2,0,2,0,08-03-2020,0,1,71,Haryana,6:00 PM
0,3,3,0,08-03-2020,0,1,72,Delhi,6:00 PM
0,7,7,0,08-03-2020,0,1,73,Uttar Pradesh,6:00 PM
0,2,2,0,09-03-2020,0,1,74,Ladakh,6:00 PM
0,1,1,0,09-03-2020,0,1,75,Karnataka,6:00 PM
0,9,9,3,09-03-2020,0,1,76,Kerala,6:00 PM
0,2,2,0,09-03-2020,0,1,77,Maharashtra,6:00 PM
0,1,1,0,09-03-2020,0,1,78,Punjab,6:00 PM
14,1,15,0,09-03-2020,0,1,79,Rajasthan,6:00 PM
0,1,1,0,09-03-2020,0,1,80,Tamil Nadu,6:00 PM
0,1,1,0,09-03-2020,0,1,81,Telengana,6:00 PM
0,1,1,0,09-03-2020,0,1,82,Jammu and Kashmir,6:00 PM
0,7,7,0,09-03-2020,0,1,83,Uttar Pradesh,6:00 PM
2,0,2,0,09-03-2020,0,1,84,Haryana,6:00 PM
0,4,4,0,09-03-2020,0,1,85,Delhi,6:00 PM
0,7,7,0,10-03-2020,0,1,86,Uttar Pradesh,6:00 PM
0,2,2,0,10-03-2020,0,1,87,Ladakh,6:00 PM
0,4,4,0,10-03-2020,0,1,88,Delhi,6:00 PM
2,0,2,0,10-03-2020,0,1,89,Haryana,6:00 PM
0,4,4,0,10-03-2020,0,1,90,Karnataka,6:00 PM
0,15,15,3,10-03-2020,0,1,91,Kerala,6:00 PM
0,5,5,0,10-03-2020,0,1,92,Maharashtra,6:00 PM
0,1,1,0,10-03-2020,0,1,93,Punjab,6:00 PM
14,1,15,0,10-03-2020,0,1,94,Rajasthan,6:00 PM
0,1,1,0,10-03-2020,0,1,95,Tamil Nadu,6:00 PM
0,1,1,0,10-03-2020,0,1,96,Telengana,6:00 PM
0,1,1,0,10-03-2020,0,1,97,Jammu and Kashmir,6:00 PM
0,2,2,0,11-03-2020,0,1,98,Maharashtra,6:00 PM
0,5,5,0,11-03-2020,0,1,99,Delhi,6:00 PM
14,0,14,0,11-03-2020,0,1,100,Haryana,6:00 PM
0,17,17,3,11-03-2020,0,1,101,Kerala,6:00 PM
2,1,3,0,11-03-2020,0,1,102,Rajasthan,6:00 PM
0,1,1,0,11-03-2020,0,1,103,Telengana,6:00 PM
0,9,9,0,11-03-2020,0,1,104,Uttar Pradesh,6:00 PM
0,2,2,0,11-03-2020,0,1,105,Ladakh,6:00 PM
0,1,1,0,11-03-2020,0,1,106,Tamil Nadu,6:00 PM
0,1,1,0,11-03-2020,0,1,107,Jammu and Kashmir,6:00 PM
0,1,1,0,11-03-2020,0,1,108,Punjab,6:00 PM
0,4,4,0,11-03-2020,0,1,109,Karnataka,6:00 PM
0,6,6,0,12-03-2020,0,1,110,Delhi,6:00 PM
14,0,14,0,12-03-2020,0,1,111,Haryana,6:00 PM
0,17,17,3,12-03-2020,0,1,112,Kerala,6:00 PM
2,1,3,0,12-03-2020,0,1,113,Rajasthan,6:00 PM
0,1,1,0,12-03-2020,0,1,114,Telengana,6:00 PM
1,10,11,0,12-03-2020,0,1,115,Uttar Pradesh,6:00 PM
0,3,3,0,12-03-2020,0,1,116,Ladakh,6:00 PM
0,1,1,0,12-03-2020,0,1,117,Tamil Nadu,6:00 PM
0,1,1,0,12-03-2020,0,1,118,Jammu and Kashmir,6:00 PM
0,1,1,0,12-03-2020,0,1,119,Punjab,6:00 PM
0,4,4,0,12-03-2020,0,1,120,Karnataka,6:00 PM
0,11,11,0,12-03-2020,0,1,121,Maharashtra,6:00 PM
0,1,1,0,12-03-2020,0,1,122,Andhra Pradesh,6:00 PM
0,6,6,0,13-03-2020,0,1,123,Delhi,6:00 PM
14,0,14,0,13-03-2020,0,1,124,Haryana,6:00 PM
0,19,19,3,13-03-2020,0,1,125,Kerala,6:00 PM
2,1,3,0,13-03-2020,0,1,126,Rajasthan,6:00 PM
0,1,1,0,13-03-2020,0,1,127,Telengana,6:00 PM
1,10,11,0,13-03-2020,0,1,128,Uttar Pradesh,6:00 PM
0,3,3,0,13-03-2020,0,1,129,Ladakh,6:00 PM
0,1,1,0,13-03-2020,0,1,130,Tamil Nadu,6:00 PM
0,1,1,0,13-03-2020,0,1,131,Jammu and Kashmir,6:00 PM
0,1,1,0,13-03-2020,0,1,132,Punjab,6:00 PM
0,6,6,0,13-03-2020,1,1,133,Karnataka,6:00 PM
0,14,14,0,13-03-2020,0,1,134,Maharashtra,6:00 PM
0,1,1,0,13-03-2020,0,1,135,Andhra Pradesh,6:00 PM
0,7,7,1,14-03-2020,1,1,136,Delhi,6:00 PM
14,0,14,0,14-03-2020,0,1,137,Haryana,6:00 PM
0,19,19,3,14-03-2020,0,1,138,Kerala,6:00 PM
2,1,3,1,14-03-2020,0,1,139,Rajasthan,6:00 PM
0,1,1,0,14-03-2020,0,1,140,Telengana,6:00 PM
1,11,12,5,14-03-2020,0,1,141,Uttar Pradesh,6:00 PM
0,3,3,0,14-03-2020,0,1,142,Ladakh,6:00 PM
0,1,1,0,14-03-2020,0,1,143,Tamil Nadu,6:00 PM
0,2,2,0,14-03-2020,0,1,144,Jammu and Kashmir,6:00 PM
0,1,1,0,14-03-2020,0,1,145,Punjab,6:00 PM
0,6,6,0,14-03-2020,1,1,146,Karnataka,6:00 PM
0,14,14,0,14-03-2020,0,1,147,Maharashtra,6:00 PM
0,1,1,0,14-03-2020,0,1,148,Andhra Pradesh,6:00 PM
0,1,1,0,15-03-2020,0,1,149,Andhra Pradesh,6:00 PM
0,7,7,2,15-03-2020,1,1,150,Delhi,6:00 PM
14,0,14,0,15-03-2020,0,1,151,Haryana,6:00 PM
0,6,6,0,15-03-2020,1,1,152,Karnataka,6:00 PM
0,22,22,3,15-03-2020,0,1,153,Kerala,6:00 PM
0,32,32,0,15-03-2020,0,1,154,Maharashtra,6:00 PM
0,1,1,0,15-03-2020,0,1,155,Punjab,6:00 PM
2,2,4,3,15-03-2020,0,1,156,Rajasthan,6:00 PM
0,1,1,0,15-03-2020,0,1,157,Tamil Nadu,6:00 PM
0,3,3,1,15-03-2020,0,1,158,Telengana,6:00 PM
0,2,2,0,15-03-2020,0,1,159,Jammu and Kashmir,6:00 PM
0,3,3,0,15-03-2020,0,1,160,Ladakh,6:00 PM
1,12,13,4,15-03-2020,0,1,161,Uttar Pradesh,6:00 PM
0,1,1,0,15-03-2020,0,1,162,Uttarakhand,6:00 PM
0,1,1,0,16-03-2020,0,1,163,Andhra Pradesh,6:00 PM
0,7,7,2,16-03-2020,1,1,164,Delhi,6:00 PM
14,0,14,0,16-03-2020,0,1,165,Haryana,6:00 PM
0,6,6,0,16-03-2020,1,1,166,Karnataka,6:00 PM
0,23,23,3,16-03-2020,0,1,167,Kerala,6:00 PM
0,32,32,0,16-03-2020,0,1,168,Maharashtra,6:00 PM
0,1,1,0,16-03-2020,0,1,169,Odisha,6:00 PM
0,1,1,0,16-03-2020,0,1,170,Punjab,6:00 PM
2,2,4,3,16-03-2020,0,1,171,Rajasthan,6:00 PM
0,1,1,0,16-03-2020,0,1,172,Tamil Nadu,6:00 PM
0,3,3,1,16-03-2020,0,1,173,Telengana,6:00 PM
0,3,3,0,16-03-2020,0,1,174,Jammu and Kashmir,6:00 PM
0,4,4,0,16-03-2020,0,1,175,Ladakh,6:00 PM
1,12,13,4,16-03-2020,0,1,176,Uttar Pradesh,6:00 PM
0,1,1,0,16-03-2020,0,1,177,Uttarakhand,6:00 PM
0,1,1,0,17-03-2020,0,1,178,Andhra Pradesh,6:00 PM
0,8,8,2,17-03-2020,1,1,179,Delhi,6:00 PM
14,1,15,0,17-03-2020,0,1,180,Haryana,6:00 PM
0,11,11,0,17-03-2020,1,1,181,Karnataka,6:00 PM
2,24,26,3,17-03-2020,0,1,182,Kerala,6:00 PM
3,36,39,0,17-03-2020,1,1,183,Maharashtra,6:00 PM
0,1,1,0,17-03-2020,0,1,184,Odisha,6:00 PM
0,1,1,0,17-03-2020,0,1,185,Punjab,6:00 PM
2,2,4,3,17-03-2020,0,1,186,Rajasthan,6:00 PM
0,1,1,0,17-03-2020,0,1,187,Tamil Nadu,6:00 PM
2,3,5,1,17-03-2020,0,1,188,Telengana,6:00 PM
0,3,3,0,17-03-2020,0,1,189,Jammu and Kashmir,6:00 PM
0,6,6,0,17-03-2020,0,1,190,Ladakh,6:00 PM
1,14,15,5,17-03-2020,0,1,191,Uttar Pradesh,6:00 PM
0,1,1,0,17-03-2020,0,1,192,Uttarakhand,6:00 PM
0,1,1,0,18-03-2020,0,1,193,Andhra Pradesh,6:00 PM
1,9,10,2,18-03-2020,1,1,194,Delhi,6:00 PM
14,3,17,0,18-03-2020,0,1,195,Haryana,6:00 PM
0,11,11,0,18-03-2020,1,1,196,Karnataka,6:00 PM
2,25,27,3,18-03-2020,0,1,197,Kerala,6:00 PM
3,39,42,0,18-03-2020,1,1,198,Maharashtra,6:00 PM
0,1,1,0,18-03-2020,0,1,199,Odisha,6:00 PM
0,1,1,0,18-03-2020,0,1,200,Puducherry,6:00 PM
0,1,1,0,18-03-2020,0,1,201,Punjab,6:00 PM
2,2,4,3,18-03-2020,0,1,202,Rajasthan,6:00 PM
0,1,1,0,18-03-2020,0,1,203,Tamil Nadu,6:00 PM
2,4,6,1,18-03-2020,0,1,204,Telengana,6:00 PM
0,3,3,0,18-03-2020,0,1,205,Jammu and Kashmir,6:00 PM
0,8,8,0,18-03-2020,0,1,206,Ladakh,6:00 PM
1,15,16,5,18-03-2020,0,1,207,Uttar Pradesh,6:00 PM
0,1,1,0,18-03-2020,0,1,208,Uttarakhand,6:00 PM
0,1,1,0,18-03-2020,0,1,209,West Bengal,6:00 PM
0,2,2,0,19-03-2020,0,1,210,Andhra Pradesh,6:00 PM
0,1,1,0,19-03-2020,0,1,211,Chhattisgarh,6:00 PM
1,11,12,3,19-03-2020,1,1,212,Delhi,6:00 PM
14,3,17,0,19-03-2020,0,1,213,Haryana,6:00 PM
0,14,14,0,19-03-2020,1,1,214,Karnataka,6:00 PM
2,25,27,3,19-03-2020,0,1,215,Kerala,6:00 PM
3,44,47,0,19-03-2020,1,1,216,Maharashtra,6:00 PM
0,1,1,0,19-03-2020,0,1,217,Odisha,6:00 PM
0,1,1,0,19-03-2020,0,1,218,Puducherry,6:00 PM
0,2,2,0,19-03-2020,1,1,219,Punjab,6:00 PM
2,5,7,3,19-03-2020,0,1,220,Rajasthan,6:00 PM
0,2,2,1,19-03-2020,0,1,221,Tamil Nadu,6:00 PM
2,4,6,1,19-03-2020,0,1,222,Telengana,6:00 PM
0,1,1,0,19-03-2020,0,1,223,Chandigarh,6:00 PM
0,4,4,0,19-03-2020,0,1,224,Jammu and Kashmir,6:00 PM
0,8,8,0,19-03-2020,0,1,225,Ladakh,6:00 PM
1,18,19,9,19-03-2020,0,1,226,Uttar Pradesh,6:00 PM
0,1,1,0,19-03-2020,0,1,227,Uttarakhand,6:00 PM
0,1,1,0,19-03-2020,0,1,228,West Bengal,6:00 PM
0,3,3,0,20-03-2020,0,1,229,Andhra Pradesh,6:00 PM
0,1,1,0,20-03-2020,0,1,230,Chhattisgarh,6:00 PM
1,16,17,5,20-03-2020,1,1,231,Delhi,6:00 PM
0,5,5,0,20-03-2020,0,1,232,Gujarat,6:00 PM
14,3,17,0,20-03-2020,0,1,233,Haryana,6:00 PM
0,15,15,1,20-03-2020,1,1,234,Karnataka,6:00 PM
2,26,28,3,20-03-2020,0,1,235,Kerala,6:00 PM
3,49,52,0,20-03-2020,1,1,236,Maharashtra,6:00 PM
0,2,2,0,20-03-2020,0,1,237,Odisha,6:00 PM
0,1,1,0,20-03-2020,0,1,238,Puducherry,6:00 PM
0,2,2,0,20-03-2020,1,1,239,Punjab,6:00 PM
2,15,17,3,20-03-2020,0,1,240,Rajasthan,6:00 PM
0,3,3,1,20-03-2020,0,1,241,Tamil Nadu,6:00 PM
9,8,17,1,20-03-2020,0,1,242,Telengana,6:00 PM
0,1,1,0,20-03-2020,0,1,243,Chandigarh,6:00 PM
0,4,4,0,20-03-2020,0,1,244,Jammu and Kashmir,6:00 PM
0,10,10,0,20-03-2020,0,1,245,Ladakh,6:00 PM
1,22,23,9,20-03-2020,0,1,246,Uttar Pradesh,6:00 PM
0,3,3,0,20-03-2020,0,1,247,Uttarakhand,6:00 PM
0,2,2,0,20-03-2020,0,1,248,West Bengal,6:00 PM
0,3,3,0,21-03-2020,0,1,249,Andhra Pradesh,6:00 PM
0,1,1,0,21-03-2020,0,1,250,Chhattisgarh,6:00 PM
1,25,26,5,21-03-2020,1,1,251,Delhi,6:00 PM
0,7,7,0,21-03-2020,0,1,252,Gujarat,6:00 PM
14,3,17,0,21-03-2020,0,1,253,Haryana,6:00 PM
0,2,2,0,21-03-2020,0,1,254,Himachal Pradesh,6:00 PM
0,15,15,1,21-03-2020,1,1,255,Karnataka,6:00 PM
7,33,40,3,21-03-2020,0,1,256,Kerala,6:00 PM
0,4,4,0,21-03-2020,0,1,257,Madhya Pradesh,6:00 PM
3,60,63,0,21-03-2020,1,1,258,Maharashtra,6:00 PM
0,2,2,0,21-03-2020,0,1,259,Odisha,6:00 PM
0,1,1,0,21-03-2020,0,1,260,Puducherry,6:00 PM
0,13,13,0,21-03-2020,1,1,261,Punjab,6:00 PM
2,15,17,3,21-03-2020,0,1,262,Rajasthan,6:00 PM
0,3,3,1,21-03-2020,0,1,263,Tamil Nadu,6:00 PM
11,10,21,1,21-03-2020,0,1,264,Telengana,6:00 PM
0,1,1,0,21-03-2020,0,1,265,Chandigarh,6:00 PM
0,4,4,0,21-03-2020,0,1,266,Jammu and Kashmir,6:00 PM
0,13,13,0,21-03-2020,0,1,267,Ladakh,6:00 PM
1,23,24,9,21-03-2020,0,1,268,Uttar Pradesh,6:00 PM
0,3,3,0,21-03-2020,0,1,269,Uttarakhand,6:00 PM
0,3,3,0,21-03-2020,0,1,270,West Bengal,6:00 PM
0,5,5,0,22-03-2020,0,1,271,Andhra Pradesh,6:00 PM
0,2,2,0,22-03-2020,1,1,272,Bihar,6:00 PM
0,1,1,0,22-03-2020,0,1,273,Chhattisgarh,6:00 PM
1,28,29,5,22-03-2020,1,1,274,Delhi,6:00 PM
0,18,18,0,22-03-2020,1,1,275,Gujarat,6:00 PM
14,7,21,0,22-03-2020,0,1,276,Haryana,6:00 PM
0,2,2,0,22-03-2020,0,1,277,Himachal Pradesh,6:00 PM
0,26,26,2,22-03-2020,1,1,278,Karnataka,6:00 PM
7,45,52,3,22-03-2020,0,1,279,Kerala,6:00 PM
0,4,4,0,22-03-2020,0,1,280,Madhya Pradesh,6:00 PM
3,64,67,0,22-03-2020,2,1,281,Maharashtra,6:00 PM
0,2,2,0,22-03-2020,0,1,282,Odisha,6:00 PM
0,1,1,0,22-03-2020,0,1,283,Puducherry,6:00 PM
0,21,21,0,22-03-2020,1,1,284,Punjab,6:00 PM
2,22,24,3,22-03-2020,0,1,285,Rajasthan,6:00 PM
2,5,7,1,22-03-2020,0,1,286,Tamil Nadu,6:00 PM
11,11,22,1,22-03-2020,0,1,287,Telengana,6:00 PM
0,5,5,0,22-03-2020,0,1,288,Chandigarh,6:00 PM
0,4,4,0,22-03-2020,0,1,289,Jammu and Kashmir,6:00 PM
0,13,13,0,22-03-2020,0,1,290,Ladakh,6:00 PM
1,26,27,9,22-03-2020,0,1,291,Uttar Pradesh,6:00 PM
0,3,3,0,22-03-2020,0,1,292,Uttarakhand,6:00 PM
